timestamp,readableTimestamp,coinId,price,marketCap,totalVolume
1638230400000,"11/30/2021, 12:00:00 AM",rome,1421.749295446409,0,21297624.874125976
1638316800000,"12/1/2021, 12:00:00 AM",rome,1421.749295446409,0,21297624.874125976
1638403200000,"12/2/2021, 12:00:00 AM",rome,1166.5966871294727,0,19716563.34165846
1638489600000,"12/3/2021, 12:00:00 AM",rome,1029.473131199959,0,11930089.867230836
1638576000000,"12/4/2021, 12:00:00 AM",rome,718.5045426632555,0,12571628.940835306
1638662400000,"12/5/2021, 12:00:00 AM",rome,646.4840762766771,0,9294319.550439123
1638748800000,"12/6/2021, 12:00:00 AM",rome,545.6544204406515,0,4810155.176464946
1638835200000,"12/7/2021, 12:00:00 AM",rome,602.8335610507695,0,6478087.16610356
1638921600000,"12/8/2021, 12:00:00 AM",rome,631.7508868242703,0,6096349.408623775
1639008000000,"12/9/2021, 12:00:00 AM",rome,645.9210550325349,0,5983839.197144957
1639094400000,"12/10/2021, 12:00:00 AM",rome,563.1460460004557,0,6511664.947261676
1639180800000,"12/11/2021, 12:00:00 AM",rome,379.08074938461243,0,6618861.470947781
1639267200000,"12/12/2021, 12:00:00 AM",rome,351.2980942180866,0,4452574.246426783
1639353600000,"12/13/2021, 12:00:00 AM",rome,418.2794248095165,0,5842789.6021552915
1639440000000,"12/14/2021, 12:00:00 AM",rome,348.6465145074194,0,6316692.38458784
1639526400000,"12/15/2021, 12:00:00 AM",rome,333.59146259151885,0,4507698.3427892905
1639612800000,"12/16/2021, 12:00:00 AM",rome,344.60099227565695,0,4145950.840373147
1639699200000,"12/17/2021, 12:00:00 AM",rome,352.19929025557695,0,3263149.8501378014
1639785600000,"12/18/2021, 12:00:00 AM",rome,292.5961008676613,0,4275177.159773971
1639872000000,"12/19/2021, 12:00:00 AM",rome,231.14748921573474,63420046.73285089,2874687.713640793
1639958400000,"12/20/2021, 12:00:00 AM",rome,257.8955909463689,71249451.93005754,3140552.5599129335
1640044800000,"12/21/2021, 12:00:00 AM",rome,209.755936964998,60170697.7915775,4737521.559288108
1640131200000,"12/22/2021, 12:00:00 AM",rome,200.5905467769281,56382868.10253953,2491878.6455646935
1640217600000,"12/23/2021, 12:00:00 AM",rome,179.9106901710793,47354733.97420613,4213211.221038417
1640304000000,"12/24/2021, 12:00:00 AM",rome,262.76722966743654,73686905.06176318,4003308.8862962043
1640390400000,"12/25/2021, 12:00:00 AM",rome,273.03298841193134,75688415.0431623,3509766.242403593
1640476800000,"12/26/2021, 12:00:00 AM",rome,235.54106361605855,66139835.2720864,1835483.1419997225
1640563200000,"12/27/2021, 12:00:00 AM",rome,236.1355930298251,65786243.145390086,2581092.6409523673
1640649600000,"12/28/2021, 12:00:00 AM",rome,271.70444531114816,75645308.74961253,4720930.173405564
1640736000000,"12/29/2021, 12:00:00 AM",rome,288.90923654951746,81184540.72255129,4446234.066367877
1640822400000,"12/30/2021, 12:00:00 AM",rome,291.3027528626087,81595005.28793107,4188979.755862535
1640908800000,"12/31/2021, 12:00:00 AM",rome,388.665870316906,109054381.70342003,11359371.33699874
1640970614000,"12/31/2021, 5:10:14 PM",rome,415.9578733113814,116800802.36789119,9015152.489852766
