timestamp,readableTimestamp,m&r-1,m&r-2,m&r-5,m&r-10,m&r-20,m&r-50,m&r-100,basket-1,basket-2,basket-5,basket-10,basket-20,basket-50,basket-100
1609459200000,"1/1/2021, 12:00:00 AM",1,1,1,1,1,1,1,1,1,1,1,1,1,1
1609545600000,"1/2/2021, 12:00:00 AM",1.011410477874809,1.008679784618462,1.0082926815929314,1.0080946323346958,1.0083317249475374,1.0084581864394717,1.00876867808789,1.0113604728645953,0.9999468193557857,0.9947338369960523,0.9991549603560073,1.0070239208477791,1.012937571128799,1.018961225170582
1609632000000,"1/3/2021, 12:00:00 AM",1.1083529018534137,1.1010581896384244,1.0983284112952476,1.095606178167818,1.0935040011431363,1.091632758505419,1.0911812473654738,1.1082406881894904,1.0805746028135303,1.051174161325565,1.0373353572378592,1.0297846954270184,1.043503190832879,1.0430192356977344
1609718400000,"1/4/2021, 12:00:00 AM",1.1375114029410356,1.1646680988974296,1.163746688099131,1.1638005006391268,1.1610129809823204,1.1590639049832725,1.1589423161118555,1.1373354816230623,1.2232699755965888,1.1691613383514274,1.1534883009885706,1.0978060279490656,1.1089585177110723,1.1163263977023088
1609804800000,"1/5/2021, 12:00:00 AM",1.0858082498575143,1.126618724737454,1.1251026917437328,1.126215821581046,1.1230091580353156,1.122565483883957,1.1226641557286756,1.0859045423918767,1.2372599119961933,1.1492056693515094,1.1360989945212725,1.0837974817477907,1.106608300514923,1.1118656578034782
1609891200000,"1/6/2021, 12:00:00 AM",1.1746514496942801,1.2169913994234918,1.212736291023182,1.215283167468512,1.210815375326162,1.210163397122587,1.210270186344222,1.1743406626154471,1.3340786369736386,1.202213722081846,1.209456179811541,1.1524677625261466,1.1842652996126888,1.2033446105637262
1609977600000,"1/7/2021, 12:00:00 AM",1.265657290454144,1.3152885131324805,1.3112780184243313,1.3200953872603003,1.315164839544402,1.313675561058426,1.3139717895504186,1.27258588978529,1.454426831651757,1.2976836719004117,1.3383179784079016,1.311084590196026,1.30241782095537,1.3169381077313058
1610064000000,"1/8/2021, 12:00:00 AM",1.3631588017542875,1.402499895796433,1.3985879690206782,1.401513761845808,1.3927886059522168,1.389204773489554,1.389270053127037,1.362639168890019,1.5135989782068249,1.3796552248428207,1.352436499021677,1.2894250267368557,1.2967477158063385,1.3388813263576573
1610150400000,"1/9/2021, 12:00:00 AM",1.4069660712141305,1.4404998810103484,1.4353736521275544,1.4354575844770487,1.4250924866665677,1.4200302757789538,1.42015487206792,1.4063597767368197,1.5315725403262692,1.3806884725619193,1.3463340219483209,1.267439619056403,1.2781235558170088,1.3408393518718749
1610236800000,"1/10/2021, 12:00:00 AM",1.389125628615175,1.4382999201484024,1.4363643463527052,1.4429554614064761,1.4371368353452088,1.435194866630008,1.4364506139261444,1.3884621348560457,1.5627323901415473,1.417616078298283,1.5120200427794452,1.3850315576948373,1.3879417784746746,1.4476693754430712
1610323200000,"1/11/2021, 12:00:00 AM",1.3237460167386264,1.3775261648841222,1.3775105389520166,1.3822046542976263,1.3775469338077857,1.3781994254600038,1.3798692888216053,1.323042603218447,1.5197002423216934,1.3708407849826245,1.4423498247309916,1.339506711989751,1.381978342744154,1.4286770735256151
1610409600000,"1/12/2021, 12:00:00 AM",1.2297629273832558,1.2640586452250036,1.2599229378677865,1.2632455102758537,1.25681327162927,1.2565055919057169,1.2575648434692674,1.2290466700874552,1.3543617285518619,1.2060075645496908,1.243498701860288,1.172566804362484,1.2247472098372925,1.2723969395062087
1610496000000,"1/13/2021, 12:00:00 AM",1.1674216274578788,1.2014620101777904,1.1992957535205764,1.2047107216451338,1.199866080458494,1.2015603106899893,1.2031761195172643,1.1693834543985524,1.2923703365241135,1.1728739466883527,1.2166925870656111,1.1573815499285192,1.2197203150614686,1.2777746255552864
1610582400000,"1/14/2021, 12:00:00 AM",1.2914710996179886,1.3236294806022801,1.3212397742346413,1.3284101444761711,1.3225770402284949,1.324257154838559,1.3261631452880356,1.2905887860656993,1.411602023242822,1.3145689606384443,1.3519686611707047,1.2685909972642928,1.3459437902971199,1.409769270201796
1610668800000,"1/15/2021, 12:00:00 AM",1.3527993659696511,1.3921820472754547,1.3916819781609557,1.3982600036130335,1.3903515616835547,1.3905052677433156,1.3918909423561725,1.3518084343292123,1.49968358479465,1.4196678643112877,1.438621836062747,1.3138643425582996,1.376046247888859,1.4356085141539803
1610755200000,"1/16/2021, 12:00:00 AM",1.268551472213124,1.3124284018508123,1.3114521740494984,1.3208685083444314,1.3150696551303234,1.3176450756562204,1.3203135945665017,1.2675553331088765,1.427057618024644,1.3376017349198628,1.3977344083078798,1.2865727561489766,1.365196796675784,1.4519532859583952
1610841600000,"1/17/2021, 12:00:00 AM",1.250673542273424,1.308839868379639,1.3178018498188506,1.3279053494853228,1.3229061769646528,1.3277325757889784,1.3309146104275378,1.249196830725756,1.460371199813064,1.4601355635681532,1.4909099889104167,1.3533999644978683,1.4393453832882983,1.5216694630308634
1610928000000,"1/18/2021, 12:00:00 AM",1.24628203627538,1.3061924916230863,1.3145602392977487,1.327148106264441,1.3221276661698567,1.3279936174049158,1.3321069474931566,1.2336760981802888,1.449055423598109,1.4209238778515951,1.5084871568091323,1.3636138935978843,1.4515365170576713,1.5651439521422839
1611014400000,"1/19/2021, 12:00:00 AM",1.2654785185536412,1.3248719487242395,1.3315391561056278,1.3439718999703256,1.339279125476114,1.3464700263915843,1.3507549235965859,1.2609378126532609,1.4806908729765984,1.4448553828421544,1.516216032126522,1.384910829668673,1.5090173512645204,1.6110669992737185
