frequencyDays,size5,size10,size20,size50,size100
1,12.400000000000006,14.79999999999998,16.49999999999997,13.559999999999938,10.099999999999945
7,5.2,4.800000000000002,5.899999999999997,4.960000000000003,3.8400000000000016
30,3.1999999999999997,2.6,3.5,2.44,2.16
91,2,1.4,1.7,1.5600000000000003,1.2800000000000005
182,1.6,1,1.5000000000000002,1.0800000000000003,0.9200000000000005
364,1.2,0.7999999999999999,1.0000000000000002,0.8400000000000004,0.7200000000000004
