timestamp,readableTimestamp,moonRug10,moonRug20,moonRug50,moonRug100,equalWeight10,equalWeight20,equalWeight50,equalWeight100,squareRoot10,squareRoot20,squareRoot50,squareRoot100,moonRug10_cap20p,moonRug20_cap10p,moonRug20_cap20p,moonRug50_cap5p,moonRug50_cap10p,moonRug50_cap20p,moonRug100_cap5p,moonRug100_cap10p,moonRug100_cap20p
1611446400000,"1/24/2021, 12:00:00 AM",1.24148488,1.24318133,1.24922342,1.25951041,1.44338142,1.32449934,1.36857703,1.545401,1.36061324,1.33508521,1.3512276,1.42984347,1.42066891,1.40765361,1.39774487,1.39123518,1.40052579,1.3950294,1.43406249,1.42477374,1.41547273
1611532800000,"1/25/2021, 12:00:00 AM",1.29304868,1.29565553,1.30126918,1.31165219,1.47186835,1.39077149,1.42276752,1.60415514,1.40902745,1.39208783,1.40445628,1.48414796,1.46426662,1.44646127,1.45131415,1.43334162,1.44050211,1.45197725,1.47584555,1.46733113,1.47458931
1611619200000,"1/26/2021, 12:00:00 AM",1.2738889,1.27598353,1.28107287,1.2917882,1.44184819,1.35886559,1.3891122,1.5789836,1.3813495,1.36342903,1.37460826,1.45842058,1.43200074,1.41490784,1.41893902,1.40279516,1.40917833,1.41960944,1.44836131,1.43896815,1.44405982
1611705600000,"1/27/2021, 12:00:00 AM",1.28691738,1.28958484,1.29514265,1.30677249,1.43663316,1.37476724,1.41010447,1.61769845,1.38789763,1.37563148,1.3902907,1.48245752,1.43555857,1.41890978,1.42812939,1.41280995,1.41779969,1.43226808,1.46147729,1.45188876,1.4599663
1611792000000,"1/28/2021, 12:00:00 AM",1.19232883,1.19721385,1.2031176,1.21464991,1.32787296,1.293929,1.32683999,1.52713635,1.28386518,1.28431907,1.30081507,1.3909384,1.330701,1.32662599,1.33182435,1.3252294,1.32732078,1.33538302,1.37014926,1.3612471,1.36175691
1611878400000,"1/29/2021, 12:00:00 AM",1.29100502,1.29870448,1.30597256,1.31927134,1.43452297,1.43352613,1.46363756,1.68094438,1.38685172,1.40201214,1.42306741,1.52408147,1.43193489,1.44441985,1.44447025,1.45168949,1.44429973,1.45066493,1.50041793,1.48168066,1.48108808
1611964800000,"1/30/2021, 12:00:00 AM",1.32912596,1.34055245,1.34691748,1.36036367,1.4553383,1.48854545,1.49948628,1.72335352,1.4183707,1.45060957,1.4640805,1.56685063,1.45851514,1.49107776,1.49033707,1.49735682,1.48471189,1.49371327,1.5449053,1.52286657,1.52499368
1612051200000,"1/31/2021, 12:00:00 AM",1.34500941,1.35452833,1.36072765,1.37509143,1.54606701,1.52891582,1.52647107,1.76061731,1.47172005,1.48716186,1.49408521,1.60059204,1.54132433,1.56106855,1.54374116,1.53832499,1.54271324,1.5359135,1.59128363,1.57739836,1.56470619
1612137600000,"2/1/2021, 12:00:00 AM",1.30912764,1.32110762,1.32875803,1.34425891,1.53629708,1.52975209,1.52627387,1.75979462,1.45311595,1.47585221,1.48536866,1.5939138,1.54926677,1.56787333,1.5444512,1.53607386,1.55642418,1.53046213,1.59041647,1.58763823,1.55683549
1612224000000,"2/2/2021, 12:00:00 AM",1.32161068,1.33573286,1.34578228,1.36392697,1.54072059,1.55197105,1.56958705,1.8311799,1.45386126,1.48756657,1.51138596,1.6374773,1.51866066,1.56272411,1.53635112,1.56696219,1.55030365,1.53601541,1.62669133,1.5941103,1.57157461
1612310400000,"2/3/2021, 12:00:00 AM",1.42388577,1.43322784,1.44118403,1.45907581,1.61797316,1.59531485,1.62340391,1.90167997,1.55088833,1.56359872,1.58223623,1.71300454,1.61144843,1.62712287,1.62086682,1.62217115,1.61616437,1.62245256,1.68995987,1.66588204,1.66214343
1612396800000,"2/4/2021, 12:00:00 AM",1.51823137,1.52730737,1.53477733,1.55327808,1.72127669,1.69345144,1.71742249,2.00392387,1.65609998,1.66581607,1.68020596,1.81453426,1.72647883,1.73547539,1.73181956,1.71766207,1.71917612,1.73044184,1.7902597,1.77206739,1.7714412
