timestamp,readableTimestamp,top1,top2,top5,top10,top20,top50,top100,top200,top500
1609459200000,"1/1/2021, 12:00:00 AM",1,1,1,1,1,1,1,1,1
1609545600000,"1/2/2021, 12:00:00 AM",1.011360472864595,0.9999468193557856,0.9947338369960523,0.999154960356007,1.0070239208477791,1.0129375711287987,1.0189612251705822,1.0168131329855645,1.0185288268400041
1609632000000,"1/3/2021, 12:00:00 AM",1.1082406881894904,1.0805746028135303,1.0511741613255647,1.0373353572378594,1.0297846954270187,1.0435031908328787,1.0430192356977344,1.0315272638585373,1.0405323605924723
1609718400000,"1/4/2021, 12:00:00 AM",1.137335481623062,1.2232699755965886,1.1691613383514274,1.1534883009885704,1.0978060279490658,1.1089585177110715,1.116326397702309,1.0963302371960915,1.106029185962687
1609804800000,"1/5/2021, 12:00:00 AM",1.0859045423918765,1.2372599119961933,1.1492056693515094,1.1360989945212723,1.0837974817477902,1.106608300514923,1.1118656578034785,1.0924711528900106,1.1035606249162697
1609891200000,"1/6/2021, 12:00:00 AM",1.174340662615447,1.3340786369736384,1.2022137220818458,1.2094561798115409,1.1524677625261466,1.1842652996126888,1.2033446105637264,1.169043418319945,1.178402730402667
1609977600000,"1/7/2021, 12:00:00 AM",1.27258588978529,1.454426831651757,1.2976836719004115,1.3383179784079018,1.3110845901960262,1.3024178209553698,1.3169381077313056,1.2584557711604918,1.2496066385993214
1610064000000,"1/8/2021, 12:00:00 AM",1.362639168890019,1.5135989782068244,1.3796552248428204,1.3524364990216768,1.2894250267368557,1.2967477158063383,1.338881326357658,1.2996041265860117,1.2738978230563032
1610150400000,"1/9/2021, 12:00:00 AM",1.4063597767368197,1.5315725403262692,1.380688472561919,1.3463340219483209,1.2674396190564035,1.278123555817009,1.340839351871875,1.2968079782967126,1.2740681893419998
1610236800000,"1/10/2021, 12:00:00 AM",1.3884621348560455,1.5627323901415475,1.417616078298283,1.5120200427794452,1.385031557694837,1.3879417784746741,1.447669375443071,1.3763413845736683,1.3424058867358708
1610323200000,"1/11/2021, 12:00:00 AM",1.323042603218447,1.5197002423216937,1.370840784982624,1.4423498247309916,1.339506711989751,1.3819783427441539,1.428677073525615,1.3438668729310888,1.296906095535714
1610409600000,"1/12/2021, 12:00:00 AM",1.2290466700874552,1.3543617285518617,1.2060075645496906,1.243498701860288,1.172566804362484,1.2247472098372918,1.2723969395062087,1.2067526464224592,1.176978702833542
1610496000000,"1/13/2021, 12:00:00 AM",1.1693834543985522,1.2923703365241135,1.1728739466883527,1.2166925870656113,1.1573815499285192,1.219720315061469,1.2777746255552866,1.2161871771643984,1.1768456420000466
