coinId,originalPrice,numCoinsHeld,costBasis,rankInBasket,currentPrice,currentHoldingsValue,performance
bitcoin,29022.41839530417,0.003445612238027001,100,0,47191.86838983951,162.6048792593906,1.626048792593906
ethereum,738.6169381520413,0.13538817597412775,100,1,3714.945456115339,502.95968914682976,5.029596891468298
ripple,0.22053451628880869,453.4437587494989,100,2,0.8404662013408024,381.10415343788657,3.811041534378866
polkadot,9.361037070164066,10.682577074576988,100,3,27.53836772217654,294.180735700194,2.9418073570019407
litecoin,124.79869792915004,0.8012904113532611,100,4,148.03521639446834,118.61919943949255,1.1861919943949255
bitcoin-cash,343.51952086638204,0.2911042718847316,100,5,431.2355639584978,125.53451485694009,1.255345148569401
cardano,0.18207113290025115,549.2358860357377,100,6,1.3580495736019418,745.8895608377184,7.458895608377183
binancecoin,37.39459108952269,2.6741835406248966,100,7,518.3716411383205,1386.220910658812,13.862209106588121
chainlink,11.25321828571232,8.886346773079598,100,8,19.949776750677458,177.280634252041,1.7728063425204101
bitcoin-cash-sv,164.0882246976334,0.6094282522970235,100,9,122.48367091124136,74.64500949836159,0.7464500949836159
stellar,0.12861221073720397,777.5311490783102,100,10,0.26845462300326667,208.73183149911452,2.0873183149911454
monero,156.72045288039814,0.638078809511324,100,11,225.18292671888534,143.68445380306207,1.4368445380306207
eos,2.595811391222099,38.52360011137802,100,12,3.076280672595905,118.50940646144566,1.1850940646144568
okb,7.7899938023828454,12.836980687893675,100,13,28.75783091133275,369.16372003449027,3.6916372003449025
celsius-degree-token,5.457189239918234,18.324451581873,100,14,4.497520041791299,82.41458824430809,0.8241458824430808
tron,0.02683999911266133,3725.782537482523,100,15,0.07792128055002882,290.31774637157395,2.9031774637157395
theta-token,1.8674708597267258,53.5483589899943,100,16,4.80953793260554,257.5428637911565,2.5754286379115645
nem,0.204424919712761,489.17715188789487,100,17,0.12584371171139305,61.55986847798057,0.6155986847798057
cosmos,6.456155888923529,15.489093157054105,100,18,30.242086545043552,468.4224957598721,4.684224957598721
tezos,2.017079935212876,49.576617294270164,100,19,4.348243286886605,215.57119333635663,2.155711933363566
