coinId,timestamp,readableTimestamp,price,marketCap,totalVolume
bitcoin,1639699200000,"12/17/2021, 12:00:00 AM",47694.530502251764,901558072618.6224,24699414443.565502
ethereum,1639699200000,"12/17/2021, 12:00:00 AM",3971.5597663421136,471365651341.3005,19166579837.021267
binancecoin,1639699200000,"12/17/2021, 12:00:00 AM",526.9418353141148,88739042728.2347,1271490920.8324678
tether,1639699200000,"12/17/2021, 12:00:00 AM",0.9994595425455134,77032025806.2482,54989839083.89934
solana,1639699200000,"12/17/2021, 12:00:00 AM",176.80558474391322,54368442494.9893,2454635867.467667
usd-coin,1639699200000,"12/17/2021, 12:00:00 AM",1.0004251063497358,41803303102.19774,3302815620.876574
cardano,1639699200000,"12/17/2021, 12:00:00 AM",1.2451616665078393,39835060416.94712,1067855730.9631387
ripple,1639699200000,"12/17/2021, 12:00:00 AM",0.8097740287353964,38189684295.14045,2977216204.777967
avalanche-2,1639699200000,"12/17/2021, 12:00:00 AM",98.6440709417485,24123591784.97086,1863618136.5827672
polkadot,1639699200000,"12/17/2021, 12:00:00 AM",26.002561395415963,27675798693.906647,1297342225.9638927
terra-luna,1639699200000,"12/17/2021, 12:00:00 AM",64.31256513575732,24074845860.43528,1857629586.9487386
dogecoin,1639699200000,"12/17/2021, 12:00:00 AM",0.17418598675382954,23088148035.192303,1148546959.1365476
shiba-inu,1639699200000,"12/17/2021, 12:00:00 AM",0.000032872712668936105,18018005905.229992,879083265.3710089
matic-network,1639699200000,"12/17/2021, 12:00:00 AM",2.079372421202235,14237108767.084604,1810769562.570669
binance-usd,1639699200000,"12/17/2021, 12:00:00 AM",0.9996363219051818,14103386794.06084,3781733795.8417163
crypto-com-chain,1639699200000,"12/17/2021, 12:00:00 AM",0.5410795414254239,13665236112.920538,204440280.95102024
wrapped-bitcoin,1639699200000,"12/17/2021, 12:00:00 AM",47644.278935331524,12324786679.992523,370811481.6463835
litecoin,1639699200000,"12/17/2021, 12:00:00 AM",149.22557764066758,10327179713.103558,816602011.4735259
dai,1639699200000,"12/17/2021, 12:00:00 AM",0.9998809497607476,8878141571.608974,582086857.0611023
terrausd,1639699200000,"12/17/2021, 12:00:00 AM",0.9992996483311952,8781289057.453386,130300561.94084218
algorand,1639699200000,"12/17/2021, 12:00:00 AM",1.3880495166297402,8761544238.848186,152159447.81375533
chainlink,1639699200000,"12/17/2021, 12:00:00 AM",18.83067899597354,8756919151.591995,708572570.3077806
okb,1639699200000,"12/17/2021, 12:00:00 AM",31.087097235923267,8068874325.601614,813455828.9144896
tron,1639699200000,"12/17/2021, 12:00:00 AM",0.08555958036126582,8686429917.300417,1191913930.0852172
bitcoin-cash,1639699200000,"12/17/2021, 12:00:00 AM",439.3724516442929,8296894086.11462,1883433440.1875472
uniswap,1639699200000,"12/17/2021, 12:00:00 AM",14.418605204408896,6509173367.275765,164456010.6876684
axie-infinity,1639699200000,"12/17/2021, 12:00:00 AM",98.08489970672825,6632843018.246735,191817756.7402783
stellar,1639699200000,"12/17/2021, 12:00:00 AM",0.25714247453895717,6334177206.6813755,364092841.88762134
cosmos,1639699200000,"12/17/2021, 12:00:00 AM",21.794446035019913,6193652395.81249,303499783.9185485
staked-ether,1639699200000,"12/17/2021, 12:00:00 AM",3935.687271355892,6206399323.125986,15019048.698167337
compound-ether,1639699200000,"12/17/2021, 12:00:00 AM",79.58083867597634,5964080564.901309,31903522.012010958
vechain,1639699200000,"12/17/2021, 12:00:00 AM",0.08195187307672906,5467958482.718947,293238502.02034783
elrond-erd-2,1639699200000,"12/17/2021, 12:00:00 AM",267.7146140535999,5422596298.220891,746325451.6851097
ftx-token,1639699200000,"12/17/2021, 12:00:00 AM",38.43039100038035,5335812870.4135,60530131.53940215
filecoin,1639699200000,"12/17/2021, 12:00:00 AM",37.16626320199462,5161965295.694015,263993579.46902776
near,1639699200000,"12/17/2021, 12:00:00 AM",9.244821840616039,5348523280.152644,297824709.67972666
hedera-hashgraph,1639699200000,"12/17/2021, 12:00:00 AM",0.2631327123644067,4785235480.784773,92553066.73176353
the-sandbox,1639699200000,"12/17/2021, 12:00:00 AM",5.022680243683874,4585840770.673872,938803970.5683985
ethereum-classic,1639699200000,"12/17/2021, 12:00:00 AM",35.27635673751213,4646549374.582516,319225229.3765759
internet-computer,1639699200000,"12/17/2021, 12:00:00 AM",24.386635196906997,4632762280.409249,166524783.055222
cdai,1639699200000,"12/17/2021, 12:00:00 AM",0.021798955826739273,4267898006.626608,98896997.93897688
decentraland,1639699200000,"12/17/2021, 12:00:00 AM",3.1550961476760397,4176204926.4263105,561575493.2061678
theta-token,1639699200000,"12/17/2021, 12:00:00 AM",4.261362206886831,4245965571.690308,116864326.92831932
magic-internet-money,1639699200000,"12/17/2021, 12:00:00 AM",1.0019436190816708,3974101169.085232,289569702.4817474
compound-usd-coin,1639699200000,"12/17/2021, 12:00:00 AM",0.02242629295219237,3658381627.35191,54161081.401127495
tezos,1639699200000,"12/17/2021, 12:00:00 AM",4.344135885325262,3761086281.191701,264407865.96599755
fantom,1639699200000,"12/17/2021, 12:00:00 AM",1.431515666755537,3646251492.5045133,396555484.9709581
gala,1639699200000,"12/17/2021, 12:00:00 AM",0.46907018845261905,3534385189.862954,507225861.7718066
leo-token,1639699200000,"12/17/2021, 12:00:00 AM",3.5859039508649593,3376757048.1826406,404046.66020402586
monero,1639699200000,"12/17/2021, 12:00:00 AM",187.24840855195848,3379336098.6987658,150655641.66274336
bitcoin,1639699200000,"12/17/2021, 12:00:00 AM",47694.530502251764,901558072618.6224,24699414443.565502
